Title,Price,Reduction,Rooms,Bathrooms,Meters,Province
Casa o chalet con 1 baño en Mataró ,295.000 €,-,3 habs.,1 baño,192 m²,barcelona
Casa o chalet con piscina en Sant Andreu de Llavaneres ,1.550.000 €,-,7 habs.,5 baños,606 m²,barcelona
"Piso en Europa, Sitges ",390.000 €,-,3 habs.,2 baños,107 m²,barcelona
"Dúplex con terraza en Carrer de Salmerón, Terrassa ",395.000 €,-,3 habs.,3 baños,160 m²,barcelona
Casa o chalet con piscina en Sant Cugat del Vallès ,725.000 €, 23.000 €,4 habs.,1 baño,170 m²,barcelona
"Piso con terraza en Gran Via de Le Corts Catalanes,  Barcelona Capital ",569.000 €, 16.000 €,4 habs.,2 baños,139 m²,barcelona
"Piso con terraza en Estronci, L'Hospitalet de Llobregat ",315.000 €,-,2 habs.,2 baños,66 m²,barcelona
"Piso con terraza en Irlanda, Santa Coloma de Gramenet ",285.000 €,-,4 habs.,2 baños,150 m²,barcelona
Piso con terraza en  Barcelona Capital ,249.000 €, 71.000 €,1 hab.,1 baño,124 m²,barcelona
Dúplex con calefacción en Mataró ,347.000 €, 43.000 €,2 habs.,3 baños,135 m²,barcelona
Piso con calefacción en  Barcelona Capital ,155.000 €, 20.000 €,3 habs.,1 baño,66 m²,barcelona
"Piso en Calabria, 230,  Barcelona Capital ",330.000 €, 20.000 €,3 habs.,1 baño,74 m²,barcelona
"Ático en Carrer Sant Agustí, 49, Mataró ",269.000 €, 16.000 €,2 habs.,2 baños,83 m²,barcelona
"Casa o chalet en Carrer Major, 319, Vallirana ",289.000 €,-,4 habs.,2 baños,146 m²,barcelona
"Ático en Carrer de Berenguer de Palou, 137,  Barcelona Capital ",390.000 €,-,3 habs.,2 baños,103 m²,barcelona
"Piso en Passatge de Valeri Serra, 19,  Barcelona Capital ",950.000 €,-,3 habs.,2 baños,133 m²,barcelona
"Piso en Blasco de Garay,de, 186, Terrassa ",209.000 €, 16.000 €,4 habs.,1 baño,100 m²,barcelona
"Piso con ascensor en C/ de Balmes,  Barcelona Capital ",492.000 €, 28.000 €,4 habs.,2 baños,126 m²,barcelona
"Piso con terraza en Duquessa de la Victoria,d, Terrassa ",153.500 €,-,3 habs.,-,83 m²,barcelona
"Piso con balcón en Londres,  Barcelona Capital ",400.000 €, 55.000 €,3 habs.,1 baño,85 m²,barcelona
"Piso con balcón en Carrer de Juan de Garay,  Barcelona Capital ",435.000 €,-,4 habs.,2 baños,105 m²,barcelona
"Piso con terraza en Ramblas,  Barcelona Capital ",960.000 €,-,3 habs.,3 baños,183 m²,barcelona
