Title,Price,Reduction,Rooms,Bathrooms,Meters,Province
"Casa o chalet con terraza en Carrer Port Sotavent, Empuriabrava ",284.000 €,-,4 habs.,4 baños,102 m²,girona
"Piso con piscina en Camp  D'or, Girona Capital ",292.000 €,-,2 habs.,2 baños,92 m²,girona
"Piso en C/ Sant Jordi, Figueres ",112.000 €, 12.600 €,3 habs.,2 baños,93 m²,girona
"Casa o chalet con terraza en Josep Maria Masramon, Girona Capital ",495.000 €,-,5 habs.,3 baños,205 m²,girona
"Ático en Carretera de Mollet, 24a, Peralada ",240.000 €,-,3 habs.,2 baños,80 m²,girona
"Piso con piscina en Mestra Numancia, Calonge ",286.000 €,-,3 habs.,2 baños,88 m²,girona
Apartamento con terraza en Calonge ,294.000 €,-,2 habs.,1 baño,75 m²,girona
Casa o chalet con piscina en Riells i Viabrea ,325.000 €, 8.000 €,4 habs.,2 baños,226 m²,girona
Piso en Roses ,133.000 €, 10.000 €,1 hab.,1 baño,60 m²,girona
"Casa o chalet en C/ Travesera del Consul Roses, Castelló d'Empúries ",118.000 €, 16.400 €,3 habs.,1 baño,74 m²,girona
Apartamento con terraza en Palamós ,177.000 €,-,2 habs.,1 baño,55 m²,girona
Casa o chalet con terraza en Castell-Platja d'Aro ,890.000 €, 105.000 €,4 habs.,3 baños,250 m²,girona
"Piso con ascensor en Carme, Girona Capital ",160.000 €,-,2 habs.,1 baño,55 m²,girona
"Piso con balcón en Carretera de Palamós, Sant Feliu de Guíxols ",175.000 €,-,2 habs.,2 baños,64 m²,girona
"Piso con terraza en Carrer Església, Castell-Platja d'Aro ",210.000 €,-,3 habs.,1 baño,70 m²,girona
"Casa o chalet con terraza en Santa Llucia, Llançà ",230.000 €,-,4 habs.,3 baños,256 m²,girona
"Ático con terraza en Pujada del Mirador, Portbou ",130.000 €,-,4 habs.,2 baños,90 m²,girona
Casa adosada con terraza en Salt ,216.000 €,-,4 habs.,2 baños,222 m²,girona
"Estudio con terraza en De la Platja, Roses ",82.000 €,-,-,1 baño,38 m²,girona
"Apartamento con terraza en Josep Romañach, Roses ",189.000 €,-,2 habs.,1 baño,71 m²,girona
Piso con terraza en Girona Capital ,775.000 €,-,4 habs.,4 baños,215 m²,girona
Dúplex con terraza en Cassà de la Selva ,220.000 €, 10.000 €,3 habs.,2 baños,144 m²,girona
"Piso con terraza en Passeig del Mar, Sant Feliu de Guíxols ",590.000 €, 25.000 €,4 habs.,3 baños,176 m²,girona
Casa o chalet con terraza en Palamós ,690.000 €,-,6 habs.,4 baños,333 m²,girona
"Casa o chalet con terraza en De la Cala Trencada, Roses ",260.000 €,-,2 habs.,1 baño,69 m²,girona
Piso con calefacción en Colera ,139.000 €,-,2 habs.,1 baño,77 m²,girona
"Piso con 2 baños en Carrer del Sis D'octubre de 1869, La Bisbal d'Empordà ",170.000 €,-,3 habs.,2 baños,88 m²,girona
"Ático con terraza en Emili Grahit, Girona Capital ",695.000 €,-,4 habs.,2 baños,140 m²,girona
"Dúplex con terraza en Carrer Bateria, Palamós ",295.000 €,-,3 habs.,2 baños,90 m²,girona
Casa adosada con terraza en Vilobí d'Onyar ,330.000 €,-,3 habs.,3 baños,177 m²,girona
Casa o chalet con piscina en Lloret de Mar ,280.000 €,-,3 habs.,2 baños,137 m²,girona
"Piso con terraza en Barcelona, Girona Capital ",360.000 €,-,3 habs.,1 baño,110 m²,girona
"Piso con terraza en Carrer Punta Prima, Castell-Platja d'Aro ",675.000 €, 25.000 €,1 hab.,2 baños,78 m²,girona
Casa o chalet con terraza en Prats i Sansor ,1.585.000 €,-,5 habs.,6 baños,420 m²,lleida
Ático con ascensor en  Lleida Capital ,158.000 €,-,3 habs.,2 baños,114 m²,lleida
"Dúplex en Carrer de Vallcalent, 45,  Lleida Capital ",245.000 €,-,4 habs.,2 baños,147 m²,lleida
"Piso en Carrer de Pere de Cabrera, 34,  Lleida Capital ",335.000 €,-,3 habs.,2 baños,115 m²,lleida
"Casa o chalet con terraza en Lugar Santa Magdalena, Bellver de Cerdanya ",820.000 €,-,5 habs.,4 baños,280 m²,lleida
"Casa o chalet con calefacción en Camí de Santa Magdalena, Bellver de Cerdanya ",820.000 €,-,5 habs.,4 baños,300 m²,lleida
"Piso en C/ Bellavista,  Lleida Capital ",48.000 €,-,3 habs.,1 baño,83 m²,lleida
"Piso en C/ Priorat,  Lleida Capital ",69.000 €, 10.200 €,4 habs.,1 baño,90 m²,lleida
"Piso en C/ Daniel,  Lleida Capital ",61.500 €,-,2 habs.,1 baño,64 m²,lleida
"Piso en C/ Gaspar de Portola,  Lleida Capital ",26.000 €, 2.600 €,3 habs.,2 baños,72 m²,lleida
"Piso en Carrer Cardenal Cisneros, 4,  Lleida Capital ",85.000 €, 4.000 €,3 habs.,2 baños,93 m²,lleida
Casa o chalet con terraza en Alfarràs ,179.000 €,-,5 habs.,2 baños,225 m²,lleida
"Piso con terraza en La Teulera, Tremp ",55.700 €, 15.800 €,2 habs.,1 baño,83 m²,lleida
"Casa o chalet con 2 baños en Felix de Los Rios, Almenar ",63.000 €, 16.000 €,3 habs.,2 baños,158 m²,lleida
"Piso con 1 baño en Cl Verge de Montserrat,2 Esc:1 Pl:4 Pt:01 Mollerus, Mollerussa ",28.000 €, 10.500 €,3 habs.,1 baño,76 m²,lleida
Piso con terraza en  Lleida Capital ,160.000 €,-,4 habs.,1 baño,90 m²,lleida
Planta baja con terraza en  Lleida Capital ,320.000 €, 75.000 €,4 habs.,2 baños,130 m²,lleida
Casa o chalet con piscina en Prats i Sansor ,1.790.000 €,-,4 habs.,5 baños,452 m²,lleida
Piso con terraza en Almacelles ,54.500 €,-,2 habs.,2 baños,70 m²,lleida
Piso con balcón en  Lleida Capital ,145.000 €,-,4 habs.,2 baños,151 m²,lleida
Piso con terraza en  Lleida Capital ,87.000 €, 10.000 €,2 habs.,1 baño,93 m²,lleida
Apartamento con terraza en Alfarràs ,99.000 €,-,4 habs.,2 baños,142 m²,lleida
"Piso con ascensor en Balmes,  Lleida Capital ",69.000 €,-,2 habs.,1 baño,80 m²,lleida
"Casa o chalet en Carrer de L'arquitecte Villalonga, 2,  Lleida Capital ",420.000 €, 20.000 €,4 habs.,3 baños,323 m²,lleida
Piso con ascensor en  Lleida Capital ,49.000 €,-,2 habs.,1 baño,62 m²,lleida
Casa adosada con terraza en Montferrer i Castellbò ,520.000 €,-,3 habs.,3 baños,345 m²,lleida
Casa o chalet con terraza en Montferrer i Castellbò ,993.000 €,-,3 habs.,3 baños,640 m²,lleida
Casa o chalet con terraza en Prats i Sansor ,1.380.000 €,-,4 habs.,5 baños,285 m²,lleida
Piso con terraza en La Seu d'Urgell ,260.000 €,-,3 habs.,2 baños,107 m²,lleida
Ático con terraza en La Seu d'Urgell ,345.000 €,-,4 habs.,3 baños,139 m²,lleida
Piso con terraza en La Seu d'Urgell ,320.000 €,-,4 habs.,2 baños,136 m²,lleida
"Piso con terraza en Taquigraf Marti,  Lleida Capital ",67.000 €,-,3 habs.,1 baño,81 m²,lleida
"Casa o chalet con terraza en Carrer Serrat D'en Mingo, Solsona ",319.000 €, 49.000 €,5 habs.,2 baños,350 m²,lleida
"Casa o chalet con piscina en Hostal del Lluch, Alpicat ",395.000 €,-,5 habs.,2 baños,265 m²,lleida
"Casa adosada con 3 baños en De la Sardana, Mollerussa ",249.000 €,-,4 habs.,3 baños,230 m²,lleida
Piso con terraza en Albatàrrec ,137.000 €, 1.900 €,4 habs.,3 baños,155 m²,lleida
"Casa adosada en Carrer de la Franja de Ponent, 18,  Lleida Capital ",370.000 €,-,4 habs.,3 baños,200 m²,lleida
"Piso en Avinguda Príncep de Viana, 70,  Lleida Capital ",150.000 €, 10.000 €,4 habs.,2 baños,125 m²,lleida
"Piso en Avinguda de Marimunt, 2,  Lleida Capital ",317.000 €,-,3 habs.,2 baños,110 m²,lleida
"Piso en Gran Passeig de Ronda, 84,  Lleida Capital ",115.000 €,-,2 habs.,1 baño,88 m²,lleida
"Piso en Carrer Riu Llobregat, 1,  Lleida Capital ",125.000 €,-,4 habs.,2 baños,137 m²,lleida
"Piso con balcón en Manel Gaya I Tomas,  Lleida Capital ",175.000 €,-,4 habs.,2 baños,119 m²,lleida
"Piso en Carrer Vila Antònia, 1,  Lleida Capital ",180.000 €,-,4 habs.,3 baños,140 m²,lleida
"Piso en D'agustí Duran I Santpere, 17,  Lleida Capital ",185.000 €,-,3 habs.,2 baños,100 m²,lleida
"Casa o chalet con terraza en Conseller Comorera, Cervera ",186.000 €,-,3 habs.,2 baños,178 m²,lleida
Piso con balcón en  Lleida Capital ,94.500 €,-,4 habs.,1 baño,122 m²,lleida
Ático con terraza en  Lleida Capital ,219.800 €,-,3 habs.,2 baños,96 m²,lleida
Apartamento con balcón en  Lleida Capital ,169.860 €,-,4 habs.,2 baños,121 m²,lleida
Piso con balcón en  Lleida Capital ,192.400 €, 2.100 €,3 habs.,2 baños,99 m²,lleida
Piso con terraza en  Lleida Capital ,109.500 €,-,2 habs.,1 baño,76 m²,lleida
"Piso con balcón en Gran Paseo de Ronda,  Lleida Capital ",195.000 €,-,2 habs.,2 baños,105 m²,lleida
"Piso con balcón en Princep de Viana,  Lleida Capital ",135.000 €,-,4 habs.,2 baños,135 m²,lleida
"Piso en C/ la Pau,  Lleida Capital ",60.200 €,-,3 habs.,2 baños,72 m²,lleida
"Piso con ascensor en Gran Passeig de Ronda,  Lleida Capital ",135.000 €,-,4 habs.,2 baños,105 m²,lleida
Planta baja con terraza en  Lleida Capital ,162.000 €, 2.000 €,2 habs.,2 baños,84 m²,lleida
Piso con balcón en  Lleida Capital ,186.900 €, 2.100 €,4 habs.,2 baños,169 m²,lleida
"Piso en Avinguda del Doctor Fleming, 51,  Lleida Capital ",125.000 €,-,2 habs.,1 baño,71 m²,lleida
Piso con balcón en  Lleida Capital ,199.500 €,-,5 habs.,2 baños,180 m²,lleida
"Ático con ascensor en Pompeu,  Lleida Capital ",275.000 €,-,4 habs.,2 baños,140 m²,lleida
Apartamento con balcón en  Lleida Capital ,157.500 €,-,2 habs.,1 baño,80 m²,lleida
"Piso con balcón en Cl Baixad.mercadal, Agramunt ",41.000 €, 20.300 €,3 habs.,1 baño,82 m²,lleida
"Ático con terraza en Manel Venabent, La Molsosa ",140.000 €, 15.000 €,3 habs.,2 baños,100 m²,lleida
"Piso con ascensor en Historiador Josep Lladonosa,  Lleida Capital ",120.000 €, 4.000 €,4 habs.,2 baños,142 m²,lleida
Casa o chalet con piscina en  Lleida Capital ,547.000 €, 41.000 €,6 habs.,4 baños,422 m²,lleida
"Dúplex con ascensor en Pintor Xavier Gosé,  Lleida Capital ",298.000 €,-,4 habs.,3 baños,155 m²,lleida
"Casa o chalet en Carrer Enric Granados, 16,  Lleida Capital ",300.000 €,-,3 habs.,2 baños,145 m²,lleida
Casa o chalet con terraza en  Lleida Capital ,199.000 €,-,3 habs.,2 baños,117 m²,lleida
Piso con calefacción en  Lleida Capital ,79.400 €,-,3 habs.,1 baño,63 m²,lleida
Piso con calefacción en  Lleida Capital ,99.800 €,-,3 habs.,1 baño,111 m²,lleida
"Ático con terraza en Orvepard,  Lleida Capital ",83.000 €, 10.500 €,3 habs.,1 baño,97 m²,lleida
Finca rústica con balcón en Lles de Cerdanya ,480.000 €,-,5 habs.,3 baños,216 m²,lleida
Casa o chalet con piscina en  Lleida Capital ,265.000 €, 10.000 €,5 habs.,2 baños,318 m²,lleida
"Casa o chalet con terraza en Carrer de L'escultor Carles Mora, Navès ",250.000 €,-,4 habs.,4 baños,198 m²,lleida
"Finca rústica con 1 baño en De la Fuente - Castellnou, Cervera ",10.500 €,-,1 hab.,1 baño,131 m²,lleida
Casa adosada con 2 baños en Barbens ,58.000 €, 38.000 €,4 habs.,2 baños,166 m²,lleida
Casa o chalet con terraza en Torrefarrera ,275.000 €, 23.000 €,4 habs.,4 baños,300 m²,lleida
Finca rústica con piscina en  Lleida Capital ,265.000 €, 49.500 €,4 habs.,3 baños,307 m²,lleida
Piso con 1 baño en  Lleida Capital ,59.800 €,-,3 habs.,1 baño,83 m²,lleida
Piso con terraza en  Lleida Capital ,140.000 €,-,4 habs.,2 baños,108 m²,lleida
Piso con terraza en  Lleida Capital ,132.000 €,-,5 habs.,2 baños,194 m²,lleida
"Piso con terraza en Cavallers,  Lleida Capital ",18.000 €, 2.000 €,2 habs.,1 baño,60 m²,lleida
"Piso con balcón en Carrer de Pau Casals, Tàrrega ",89.000 €,-,3 habs.,2 baños,86 m²,lleida
"Dúplex con terraza en Carrer Alcalde Moles, Solsona ",121.500 €, 28.300 €,6 habs.,3 baños,140 m²,lleida
Piso en Balaguer ,20.000 €,-,2 habs.,-,67 m²,lleida
"Piso con ascensor en Indivil I Mandoni,  Lleida Capital ",40.000 €, 6.000 €,2 habs.,1 baño,87 m²,lleida
"Casa o chalet en General Prim, 32, Bellvís ",48.300 €, 37.700 €,4 habs.,1 baño,200 m²,lleida
"Casa o chalet en Camino Eras, Àger ",20.000 €,-,4 habs.,2 baños,219 m²,lleida
Casa o chalet con terraza en Prats i Sansor ,1.850.000 €,-,7 habs.,4 baños,580 m²,lleida
"Casa o chalet con 2 baños en Calle Mayor, Tremp ",64.500 €, 15.000 €,7 habs.,2 baños,300 m²,lleida
"Casa adosada con calefacción en Picines, Puigverd de Lleida ",198.000 €,-,4 habs.,3 baños,250 m²,lleida
"Piso con balcón en Aurora, Tàrrega ",26.000 €,-,2 habs.,1 baño,207 m²,lleida
"Casa o chalet con piscina en Canaima, Alpicat ",A consultar,-,4 habs.,3 baños,490 m²,lleida
"Casa adosada con terraza en Concordia, Alpicat ",210.000 €, 45.000 €,5 habs.,2 baños,350 m²,lleida
"Casa o chalet con terraza en Escoles,  Lleida Capital ",199.000 €,-,3 habs.,2 baños,230 m²,lleida
Finca rústica en Lladurs ,1.200.000 €,-,-,-,280 m²,lleida
Casa o chalet con terraza en Tremp ,173.000 €, 31.900 €,4 habs.,3 baños,210 m²,lleida
Casa o chalet con 3 baños en Tremp ,173.000 €,-,4 habs.,3 baños,210 m²,lleida
Piso con terraza en La Seu d'Urgell ,300.000 €,-,4 habs.,2 baños,133 m²,lleida
Piso con terraza en La Seu d'Urgell ,300.000 €,-,4 habs.,2 baños,133 m²,lleida
"Casa o chalet con 2 baños en Carrer de L'escultor Carles Mora, Navès ",179.000 €,-,3 habs.,2 baños,125 m²,lleida
Piso en Almacelles ,37.000 €, 4.100 €,3 habs.,-,69 m²,lleida
"Apartamento en Carrer de Mollerussa, 4,  Lleida Capital ",56.000 €, 3.000 €,2 habs.,1 baño,62 m²,lleida
"Obra Nueva Ático en Calle Vidal I Codina, 16,  Lleida Capital ",280.000 €,-,3 habs.,2 baños,101 m²,lleida
"Obra Nueva Piso con terraza en Avenida Miquel Batllori,  Lleida Capital ",264.500 €,-,4 habs.,2 baños,121 m²,lleida
"Obra Nueva Piso con terraza en Calle Sobernedo, Vielha e Mijaran ",480.000 €,-,3 habs.,2 baños,117 m²,lleida
Casa adosada con terraza en Torrefarrera ,249.000 €,-,5 habs.,3 baños,265 m²,lleida
"Dúplex con terraza en Carrer Bonavista, Alcarràs ",180.000 €, 20.000 €,4 habs.,2 baños,120 m²,lleida
"Piso con 1 baño en Carrer Els Valls, Sanaüja ",29.000 €, 6.000 €,3 habs.,1 baño,78 m²,lleida
"Piso con balcón en Costa Magdalena,  Lleida Capital ",59.000 €,-,3 habs.,1 baño,96 m²,lleida
"Casa o chalet en Carrer Lleida, 20, Els Alamús ",25.000 €,-,3 habs.,1 baño,130 m²,lleida
"Piso con balcón en Prat de la Riba,  Lleida Capital ",140.000 €,-,2 habs.,1 baño,58 m²,lleida
"Finca rústica en Carrer Roger de Llúria, 16, Soses ",45.000 €,-,3 habs.,1 baño,85 m²,lleida
Casa o chalet con calefacción en Les Borges Blanques ,120.000 €, 10.000 €,4 habs.,2 baños,168 m²,lleida
Casa o chalet con terraza en Rosselló ,160.000 €, 5.000 €,4 habs.,1 baño,225 m²,lleida
"Piso en Pompeu Fabra, 1, Mollerussa ",43.900 €, 19.100 €,3 habs.,1 baño,114 m²,lleida
"Piso en De Catalunya, 9, Mollerussa ",55.000 €,-,3 habs.,1 baño,101 m²,lleida
Casa o chalet con balcón en L'Albi ,35.000 €,-,3 habs.,1 baño,166 m²,lleida
"Piso con balcón en Raval del Carme, Les Borges Blanques ",53.000 €,-,3 habs.,2 baños,85 m²,lleida
Apartamento con balcón en  Lleida Capital ,95.000 €, 4.000 €,1 hab.,1 baño,45 m²,lleida
"Piso con balcón en Taquígraf Martí,  Lleida Capital ",90.000 €,-,3 habs.,1 baño,90 m²,lleida
"Obra Nueva Piso con piscina en Avenida Avda. Miquel Batllori Esquina C/albarés,  Lleida Capital ",178.000 €,-,3 habs.,2 baños,96 m²,lleida
"Estudio con ascensor en Carrer Príncep de Viana,  Lleida Capital ",100.000 €,-,1 hab.,1 baño,42 m²,lleida
"Ático con terraza en Carrer Verge del Coll, Salàs de Pallars ",150.000 €,-,3 habs.,2 baños,104 m²,lleida
"Obra Nueva Piso con terraza en Avenida Josep Irla,  Lleida Capital ",320.000 €,-,4 habs.,2 baños,117 m²,lleida
"Piso con 1 baño en Carrer del Músic Vivaldi,  Lleida Capital ",12.600 €,-,2 habs.,1 baño,42 m²,lleida
"Obra Nueva Piso en Calle Maria Montessori, 12,  Lleida Capital ",325.000 €,-,5 habs.,3 baños,153 m²,lleida
"Piso con 1 baño en Carrer de la Mariola,  Lleida Capital ",A consultar,-,2 habs.,1 baño,37 m²,lleida
"Casa o chalet con piscina en Carrer Pica D'estats, Golmés ",A consultar,-,5 habs.,3 baños,543 m²,lleida
Piso con terraza en La Seu d'Urgell ,310.000 €,-,4 habs.,2 baños,141 m²,lleida
Piso con terraza en La Seu d'Urgell ,320.000 €,-,4 habs.,2 baños,140 m²,lleida
"Obra Nueva Ático en Avenida Enric Farreny, 9,  Lleida Capital ",470.000 €,-,4 habs.,2 baños,134 m²,lleida
"Casa o chalet en Barceloneta, 14, Altafulla ",495.000 €,-,-,-,578 m²,tarragona
"Piso con balcón en Carrer D'antoni Isern, Reus ",165.000 €, 4.500 €,3 habs.,2 baños,102 m²,tarragona
Apartamento con terraza en Salou ,91.000 €,-,1 hab.,48 baños,48 m²,tarragona
Apartamento con terraza en Salou ,138.000 €, 12.000 €,2 habs.,1 baño,64 m²,tarragona
"Apartamento en Carrer de Pep Ventura, 28, Vila-seca ",230.000 €,-,3 habs.,2 baños,94 m²,tarragona
"Piso en Carrer del Canigó, 11, Roda de Berà ",210.000 €,-,2 habs.,1 baño,64 m²,tarragona
Piso con terraza en Cunit ,132.000 €,-,3 habs.,1 baño,85 m²,tarragona
"Piso con piscina en Mas D´en Gras, Vila-seca ",176.000 €,-,3 habs.,2 baños,102 m²,tarragona
Piso con piscina en Torredembarra ,129.900 €,-,2 habs.,1 baño,53 m²,tarragona
"Piso en C/ Robert D´aguiló, Vila-seca ",179.000 €, 25.300 €,3 habs.,2 baños,94 m²,tarragona
"Piso en C/ Fresno,  Tarragona Capital ",53.300 €,-,3 habs.,1 baño,70 m²,tarragona
"Piso en Pza Federico García Lorca,  Tarragona Capital ",115.000 €, 52.100 €,3 habs.,2 baños,90 m²,tarragona
"Casa o chalet con terraza en Calle Pi de Baltazar, Mont-roig del Camp ",900.000 €,-,5 habs.,7 baños,516 m²,tarragona
Piso con terraza en Cunit ,246.000 €,-,3 habs.,2 baños,120 m²,tarragona
"Piso en C/ Alta del Carmen, Reus ",64.500 €,-,3 habs.,1 baño,65 m²,tarragona
"Piso en C/ Priorato,  Tarragona Capital ",62.000 €,-,3 habs.,1 baño,66 m²,tarragona
"Casa o chalet en C/ de la Pau, Roda de Berà ",122.600 €, 6.400 €,3 habs.,2 baños,61 m²,tarragona
Casa adosada con terraza en El Vendrell ,187.000 €,-,4 habs.,2 baños,156 m²,tarragona
Planta baja con terraza en Calafell ,154.000 €, 5.000 €,3 habs.,2 baños,78 m²,tarragona
Casa o chalet con terraza en El Vendrell ,210.000 €,-,3 habs.,2 baños,104 m²,tarragona
"Casa o chalet en Roquetes, 4, Deltebre ",110.000 €, 9.000 €,3 habs.,2 baños,170 m²,tarragona
Piso con terraza en Tortosa ,44.000 €,-,6 habs.,2 baños,211 m²,tarragona
"Casa o chalet con terraza en Carrer de Ramon Casas, Roda de Berà ",279.000 €, 13.000 €,4 habs.,3 baños,300 m²,tarragona
"Casa o chalet con piscina en Calle Panamà, Calafell ",475.000 €,-,5 habs.,3 baños,197 m²,tarragona
"Casa adosada con terraza en Carrer de Josep Irla I Bosch, Roda de Berà ",275.000 €,-,3 habs.,3 baños,207 m²,tarragona
"Casa o chalet en Carrer Puigcerver, 14, Cambrils ",397.000 €,-,4 habs.,3 baños,190 m²,tarragona
Ático con terraza en El Vendrell ,121.000 €,-,3 habs.,1 baño,76 m²,tarragona
"Piso en Passeig Prim, 6, Reus ",169.000 €, 6.000 €,4 habs.,2 baños,133 m²,tarragona
"Piso en Joan Fuster, 15,  Tarragona Capital ",370.000 €,-,3 habs.,2 baños,106 m²,tarragona
"Piso en Carrer de Lluís Domènech I Montaner, 3, Salou ",320.000 €,-,3 habs.,2 baños,107 m²,tarragona
"Casa adosada en Carrer Praga, 20, Cambrils ",429.000 €,-,5 habs.,3 baños,205 m²,tarragona
"Piso en Robert Daguilo, 43,  Tarragona Capital ",317.000 €, 8.000 €,3 habs.,2 baños,97 m²,tarragona
"Piso en Dr Mallafre Guasch, 3,  Tarragona Capital ",167.000 €,-,2 habs.,1 baño,66 m²,tarragona
"Planta baja en Xuquer, 4, Calafell ",164.000 €, 5.000 €,3 habs.,2 baños,126 m²,tarragona
"Ático en Carrer de Castell Tamarit, Cambrils ",236.900 €,-,3 habs.,2 baños,92 m²,tarragona
"Piso en Plaça de Girona, 7, Mont-roig del Camp ",147.000 €, 5.500 €,3 habs.,1 baño,88 m²,tarragona
"Piso con terraza en Romani-la Muntanyeta, El Vendrell ",119.000 €,-,3 habs.,2 baños,76 m²,tarragona
"Piso en Carrer de Vilamar, 100, Calafell ",167.580 €,-,3 habs.,2 baños,100 m²,tarragona
"Piso en Passeig Marítim, Mont-roig del Camp ",129.000 €, 20.000 €,2 habs.,2 baños,80 m²,tarragona
"Piso en Castellers Tarragona, 9,  Tarragona Capital ",240.000 €,-,4 habs.,2 baños,111 m²,tarragona
"Piso con calefacción en Carrer Emigdio Rodríguez Pita, Calafell ",74.600 €, 8.200 €,2 habs.,1 baño,53 m²,tarragona
"Planta baja en Romani-la Muntanyeta, 2, El Vendrell ",125.000 €, 4.000 €,3 habs.,2 baños,76 m²,tarragona
"Casa adosada en Carrer Tordera, 14, Mont-roig del Camp ",167.000 €,-,3 habs.,1 baño,85 m²,tarragona
"Dúplex en Avinguda de la Diputació, 128, Cambrils ",240.000 €, 110.000 €,3 habs.,2 baños,100 m²,tarragona
"Piso con terraza en Avinguda de Ramon D'olzina, Vila-seca ",199.000 €,-,3 habs.,2 baños,100 m²,tarragona
"Planta baja en Carrer del Canigó, 11, Roda de Berà ",258.000 €,-,2 habs.,1 baño,66 m²,tarragona
Casa adosada con piscina en Creixell ,235.000 €, 10.000 €,3 habs.,2 baños,105 m²,tarragona
"Piso con terraza en Prim, Reus ",349.000 €,-,5 habs.,3 baños,281 m²,tarragona
"Piso en Angel Guimera, 1, Calafell ",390.000 €,-,4 habs.,3 baños,119 m²,tarragona
"Piso con balcón en Ginebro, El Vendrell ",110.000 €,-,3 habs.,1 baño,80 m²,tarragona
"Piso con terraza en Joan Maragall, Calafell ",160.000 €,-,3 habs.,2 baños,83 m²,tarragona
"Casa o chalet con piscina en Sant Cosme I Damia, El Vendrell ",428.000 €,-,4 habs.,2 baños,301 m²,tarragona
"Piso con balcón en Carrer de Maria Mercè Marçal I Serra, Reus ",198.500 €,-,4 habs.,2 baños,154 m²,tarragona
"Piso con terraza en Calle Alfredo Opisso,  Tarragona Capital ",159.000 €,-,3 habs.,2 baños,82 m²,tarragona
"Piso con balcón en Salauris, Vila-seca ",138.900 €, 10.100 €,4 habs.,1 baño,88 m²,tarragona
"Piso con terraza en Vilamar, Calafell ",195.000 €,-,3 habs.,2 baños,90 m²,tarragona
"Piso con terraza en Prat de la Riba, Reus ",145.000 €,-,3 habs.,1 baño,93 m²,tarragona
Casa o chalet con piscina en Calafell ,280.000 €,-,4 habs.,3 baños,195 m²,tarragona
"Piso en Maritim Sant Joan de Deu, 80, Calafell ",265.000 €,-,3 habs.,1 baño,70 m²,tarragona
"Piso en C/ Riu Besos,  Tarragona Capital ",172.200 €,-,3 habs.,1 baño,106 m²,tarragona
"Ático con terraza en Passeig Marítim, Mont-roig del Camp ",180.000 €,-,2 habs.,1 baño,68 m²,tarragona
"Piso en C/ Vía Aurelia, Salou ",143.900 €, 17.700 €,2 habs.,1 baño,63 m²,tarragona
"Piso en Calvari, 6, Benissanet ",50.000 €, 3.000 €,2 habs.,1 baño,73 m²,tarragona
"Casa o chalet en Calle Galicia  en  Ur Mirados Pdes, 37, El Montmell ",234.500 €, 35.500 €,8 habs.,2 baños,363 m²,tarragona
"Ático con terraza en Carrer la Sardana, El Morell ",174.900 €,-,4 habs.,2 baños,120 m²,tarragona
Casa o chalet en El Montmell ,230.000 €,-,6 habs.,2 baños,232 m²,tarragona
"Apartamento con terraza en Carrer de Cambrils, Salou ",245.000 €,-,5 habs.,2 baños,200 m²,tarragona
"Piso con terraza en Roser, Reus ",159.000 €,-,3 habs.,2 baños,95 m²,tarragona
"Piso en C/ Estel, Reus ",75.000 €, 13.500 €,2 habs.,1 baño,123 m²,tarragona
Piso con balcón en El Vendrell ,99.990 €,-,2 habs.,2 baños,79 m²,tarragona
"Apartamento en C/ Montblanc,  Tarragona Capital ",37.000 €,-,2 habs.,1 baño,64 m²,tarragona
"Piso en C/ Vint- Bonavista,  Tarragona Capital ",58.000 €, 5.600 €,3 habs.,1 baño,75 m²,tarragona
"Piso en C/ Mossen Lluis Batlle, Vila-seca ",205.000 €, 29.000 €,3 habs.,2 baños,108 m²,tarragona
"Piso en C/ Riu Glorieta,  Tarragona Capital ",60.200 €,-,3 habs.,1 baño,66 m²,tarragona
"Piso en Av Barcelona, Reus ",47.000 €,-,3 habs.,1 baño,65 m²,tarragona
"Piso en Av Barcelona, Reus ",47.000 €,-,3 habs.,1 baño,63 m²,tarragona
Casa adosada con terraza en Altafulla ,375.000 €,-,5 habs.,4 baños,227 m²,tarragona
"Piso en C/ Aigüa Nova, Reus ",70.000 €, 9.600 €,3 habs.,1 baño,59 m²,tarragona
"Piso con balcón en Beatriu de Queralt, Vila-seca ",189.000 €,-,4 habs.,2 baños,101 m²,tarragona
Casa adosada con terraza en Torredembarra ,315.000 €,-,4 habs.,3 baños,218 m²,tarragona
"Piso con balcón en Riera, Vila-seca ",149.840 €, 15.000 €,4 habs.,1 baño,90 m²,tarragona
"Piso en C/ Alta del Carmen, Reus ",53.000 €, 8.300 €,3 habs.,1 baño,61 m²,tarragona
"Piso en Cr Valencia,  Tarragona Capital ",62.700 €,-,3 habs.,1 baño,95 m²,tarragona
"Piso en C/ Mare Molas, Reus ",74.800 €,-,3 habs.,1 baño,65 m²,tarragona
"Piso con terraza en Carrer Emili Vendrell, Vila-seca ",172.000 €,-,2 habs.,1 baño,80 m²,tarragona
"Piso en C/ Francoli,  Tarragona Capital ",66.600 €,-,3 habs.,1 baño,89 m²,tarragona
"Piso en C/ San Juan, Reus ",169.100 €,-,4 habs.,2 baños,135 m²,tarragona
"Piso en C/ Riu Llobregat,  Tarragona Capital ",58.000 €, 9.000 €,3 habs.,1 baño,92 m²,tarragona
Casa adosada con terraza en Torredembarra ,350.000 €,-,5 habs.,3 baños,276 m²,tarragona
